id,sentence,has_idiom,idiom_text,emotion,idiom_meaning,annotator_1,annotator_2,annotator_3
5558,The pillowcase is changed every week.,0,,,,non_idiom,non_idiom,non_idiom
5559,Bulk cooking oil is sold per liter at the shop.,0,,,,non_idiom,non_idiom,non_idiom
5560,The metal paper clip forms a circle.,0,,,,non_idiom,non_idiom,non_idiom
5561,The rechargeable battery was charged overnight.,0,,,,non_idiom,non_idiom,non_idiom
5562,The coffee spilled onto the wooden table.,0,,,,non_idiom,non_idiom,non_idiom
5563,The three kilogram LPG gas cylinder was empty.,0,,,,non_idiom,non_idiom,non_idiom
5564,The silk fabric is smooth to the touch.,0,,,,non_idiom,non_idiom,non_idiom
5565,The number two paint brush is used for small details.,0,,,,non_idiom,non_idiom,non_idiom
5566,The powdered milk is mixed with warm water.,0,,,,non_idiom,non_idiom,non_idiom
5567,The plastic food packaging is tightly sealed.,0,,,,non_idiom,non_idiom,non_idiom
5568,The concrete electricity pole was tilted after being hit by a truck.,0,,,,non_idiom,non_idiom,non_idiom
5569,The sunglasses protect the eyes from the sun.,0,,,,non_idiom,non_idiom,non_idiom
5570,Drink rice water to facilitate digestion.,0,,,,non_idiom,non_idiom,non_idiom
5571,The agate stone is shaped round and polished to a shine.,0,,,,non_idiom,non_idiom,non_idiom
5572,The marker ink seeped through the thin paper.,0,,,,non_idiom,non_idiom,non_idiom
5573,The lime is squeezed into the chili sauce.,0,,,,non_idiom,non_idiom,non_idiom
5574,The cable roll was pulled to the backyard.,0,,,,non_idiom,non_idiom,non_idiom
5575,The hologram sticker is attached to the identity card.,0,,,,non_idiom,non_idiom,non_idiom
5576,The surveillance camera was mounted in the corner of the ceiling.,0,,,,non_idiom,non_idiom,non_idiom
5577,The baby porridge is filtered until it has a soft texture.,0,,,,non_idiom,non_idiom,non_idiom
5578,The shirt button came loose from its hole.,0,,,,non_idiom,non_idiom,non_idiom
5579,Fine sandpaper is used for finishing wood.,0,,,,non_idiom,non_idiom,non_idiom
5580,The tea bag is soaked in a cup filled with hot water.,0,,,,non_idiom,non_idiom,non_idiom
5581,The veil was dried in the backyard.,0,,,,non_idiom,non_idiom,non_idiom
5582,The used margarine container is used to store spices.,0,,,,non_idiom,non_idiom,non_idiom
5583,The sledgehammer weighs five kilograms.,0,,,,non_idiom,non_idiom,non_idiom
5584,Rose water is sprayed on the face as a freshener.,0,,,,non_idiom,non_idiom,non_idiom
5585,The headlamp was used when exploring the cave.,0,,,,non_idiom,non_idiom,non_idiom
5586,The guest book was signed by the invitees.,0,,,,non_idiom,non_idiom,non_idiom
5587,The clothesline was loose after years of use.,0,,,,non_idiom,non_idiom,non_idiom
5588,The peppermint candies are stored in round tins.,0,,,,non_idiom,non_idiom,non_idiom
5589,The wrench is adjusted according to the size of the nut.,0,,,,non_idiom,non_idiom,non_idiom
5590,The spray paint cans were used to paint graffiti.,0,,,,non_idiom,non_idiom,non_idiom
5591,Olive oil is used as a salad mixture.,0,,,,non_idiom,non_idiom,non_idiom
5592,The glass candle holder melted from the heat of the fire.,0,,,,non_idiom,non_idiom,non_idiom
5593,The fur carpet is vacuumed every Sunday.,0,,,,non_idiom,non_idiom,non_idiom
5594,The carrot peeler is sharp and easy to use.,0,,,,non_idiom,non_idiom,non_idiom
5595,The gutter water stagnated in front of the house because it was clogged with rubbish.,0,,,,non_idiom,non_idiom,non_idiom
5596,The manual is a thousand pages thick.,0,,,,non_idiom,non_idiom,non_idiom
5597,The toothpaste is squeezed from the middle of the tube.,0,,,,non_idiom,non_idiom,non_idiom
5598,The stripes on the zebra's body are black and white.,0,,,,non_idiom,non_idiom,non_idiom
5599,The shrimp paste chili sauce is ground together with chili and salt.,0,,,,non_idiom,non_idiom,non_idiom
5600,The copier ran out of paper in the middle of the copying process.,0,,,,non_idiom,non_idiom,non_idiom
5601,The black shoelaces were replaced with new ones.,0,,,,non_idiom,non_idiom,non_idiom
5602,The chili sauce in the plastic bottle was almost finished.,0,,,,non_idiom,non_idiom,non_idiom
5603,Banana leaves are used as food wrappers.,0,,,,non_idiom,non_idiom,non_idiom
5604,The two-stroke engine oil is mixed into the gasoline.,0,,,,non_idiom,non_idiom,non_idiom
5605,The right side of the car's rearview mirror cracked after being hit.,0,,,,non_idiom,non_idiom,non_idiom
5606,Coconut milk is squeezed from grated old coconut.,0,,,,non_idiom,non_idiom,non_idiom
5607,The floor mop had its sponge replaced because it was damaged.,0,,,,non_idiom,non_idiom,non_idiom
5608,The manual for the electronic device is in English.,0,,,,non_idiom,non_idiom,non_idiom
5609,The tip of the pencil is sharp after being sharpened.,0,,,,non_idiom,non_idiom,non_idiom
5610,The tea water in the teapot was already cold.,0,,,,non_idiom,non_idiom,non_idiom
5611,The bedroom window curtains were plain cream.,0,,,,non_idiom,non_idiom,non_idiom
5612,The motorbike horn sounded loudly.,0,,,,non_idiom,non_idiom,non_idiom
5613,The beef is boiled until tender.,0,,,,non_idiom,non_idiom,non_idiom
5614,The red buffalo paper was cut into a circle.,0,,,,non_idiom,non_idiom,non_idiom
5615,The water tap in the backyard cannot be closed properly.,0,,,,non_idiom,non_idiom,non_idiom
5616,The digital scale shows the exact number.,0,,,,non_idiom,non_idiom,non_idiom
5617,The betel lime is applied to the burn.,0,,,,non_idiom,non_idiom,non_idiom
5618,The silver necklace has a heart-shaped pendant.,0,,,,non_idiom,non_idiom,non_idiom
5619,The plane cabin was dark when the lights were turned off.,0,,,,non_idiom,non_idiom,non_idiom
5620,The pandan mat was spread out in the living room.,0,,,,non_idiom,non_idiom,non_idiom
5621,The cassava leaves are boiled for raw vegetables.,0,,,,non_idiom,non_idiom,non_idiom
5622,The ballpoint pen's ink leaked inside the bag.,0,,,,non_idiom,non_idiom,non_idiom
5623,The hollow iron was cut using a grinder.,0,,,,non_idiom,non_idiom,non_idiom
5624,The coffee in the cup was already half drunk.,0,,,,non_idiom,non_idiom,non_idiom
5625,Induction stoves heat only in certain areas.,0,,,,non_idiom,non_idiom,non_idiom
5626,The lid of the pot was releasing steam from a small hole.,0,,,,non_idiom,non_idiom,non_idiom
5627,The floor carpet was rolled up and stored in the warehouse.,0,,,,non_idiom,non_idiom,non_idiom
5628,The toothpick is made of bamboo.,0,,,,non_idiom,non_idiom,non_idiom
5629,The doorbell of the house rang when there were guests.,0,,,,non_idiom,non_idiom,non_idiom
5630,The starch is mixed with water to glue the paper.,0,,,,non_idiom,non_idiom,non_idiom
5631,The laptop battery ran out just as the presentation was starting.,0,,,,non_idiom,non_idiom,non_idiom
5632,The liquid soap dispenser in the bathroom was empty.,0,,,,non_idiom,non_idiom,non_idiom
5633,The cananga flowers are arranged into tabu flowers,0,,,,non_idiom,non_idiom,non_idiom
5634,The chocolate bar melted in his pants pocket.,0,,,,non_idiom,non_idiom,non_idiom
5635,The water pipe was leaking at the connection.,0,,,,non_idiom,non_idiom,non_idiom
5636,Loose powder is used after applying moisturizer.,0,,,,non_idiom,non_idiom,non_idiom
5637,The library membership card was photocopied.,0,,,,non_idiom,non_idiom,non_idiom
5638,The bicycle tire valve rubber was loose.,0,,,,non_idiom,non_idiom,non_idiom
5639,The ihram cloth is white and has no seams.,0,,,,non_idiom,non_idiom,non_idiom
5640,Saliva drips when seeing delicious food.,0,,,,non_idiom,non_idiom,non_idiom
5641,The plastic flower vase contains plastic flowers.,0,,,,non_idiom,non_idiom,non_idiom
5642,The soles of the running shoes are worn out.,0,,,,non_idiom,non_idiom,non_idiom
5643,Graph paper is used to draw diagrams.,0,,,,non_idiom,non_idiom,non_idiom
5644,The incense was burned in the front yard of the house.,0,,,,non_idiom,non_idiom,non_idiom
5645,The water tank on the roof of the house is made of plastic.,0,,,,non_idiom,non_idiom,non_idiom
5646,The lined notebook is used for writing notes.,0,,,,non_idiom,non_idiom,non_idiom
5647,The copper wire is wrapped around the iron.,0,,,,non_idiom,non_idiom,non_idiom
5648,The makeup brushes are washed every week.,0,,,,non_idiom,non_idiom,non_idiom
5649,The breadcrumbs coat the surface of the nuggets.,0,,,,non_idiom,non_idiom,non_idiom
5650,The size 14 ring wrench was lost in the workshop.,0,,,,non_idiom,non_idiom,non_idiom
5651,The baby's diaper is changed every four hours.,0,,,,non_idiom,non_idiom,non_idiom
5652,The waterproof flashlight is used when diving.,0,,,,non_idiom,non_idiom,non_idiom
5653,The wound on the finger was covered with a band-aid.,0,,,,non_idiom,non_idiom,non_idiom
5654,The L key is used to tighten hexagonal bolts.,0,,,,non_idiom,non_idiom,non_idiom
5655,The massage oil was rubbed onto the sore back.,0,,,,non_idiom,non_idiom,non_idiom
5656,The blood pressure measuring device is attached to the arm.,0,,,,non_idiom,non_idiom,non_idiom
5657,The writing on the shopping receipt paper had faded.,0,,,,non_idiom,non_idiom,non_idiom
5658,The flannel is sewn into a flower brooch.,0,,,,non_idiom,non_idiom,non_idiom
5659,The poor sand is sprinkled on the bottom of the aquarium.,0,,,,non_idiom,non_idiom,non_idiom
5660,The white wall paint was stirred until smooth.,0,,,,non_idiom,non_idiom,non_idiom
5661,The detergent powder is put into the washing machine.,0,,,,non_idiom,non_idiom,non_idiom
5662,The pocket vanity mirror fell and cracked.,0,,,,non_idiom,non_idiom,non_idiom
5663,The data cable is used to transfer files.,0,,,,non_idiom,non_idiom,non_idiom
5664,The young mango is sliced ??for rujak.,0,,,,non_idiom,non_idiom,non_idiom
5665,The disposable syringe is wrapped in sterile plastic.,0,,,,non_idiom,non_idiom,non_idiom
5666,The aromatherapy candles were burned in the bedroom.,0,,,,non_idiom,non_idiom,non_idiom
5667,The business cards were distributed to potential clients.,0,,,,non_idiom,non_idiom,non_idiom
5668,The string is tied to the kite.,0,,,,non_idiom,non_idiom,non_idiom
5669,The guitar key is turned to tune the strings.,0,,,,non_idiom,non_idiom,non_idiom
5670,The wooden floor was mopped with cleaning fluid.,0,,,,non_idiom,non_idiom,non_idiom
5671,The duck eggs are salted for two weeks.,0,,,,non_idiom,non_idiom,non_idiom
5672,The mosquito coil was placed in the corner of the room.,0,,,,non_idiom,non_idiom,non_idiom
5673,The iron sandpaper is used to remove rust.,0,,,,non_idiom,non_idiom,non_idiom
5674,The car's spare tire was hanging on the trunk door.,0,,,,non_idiom,non_idiom,non_idiom
5675,The breast milk is expressed and stored in the refrigerator.,0,,,,non_idiom,non_idiom,non_idiom
5676,The exam answer sheets were collected by the supervisor.,0,,,,non_idiom,non_idiom,non_idiom
5677,The layered cake is layered in green and white.,0,,,,non_idiom,non_idiom,non_idiom
5678,The hair clip was made of thin metal.,0,,,,non_idiom,non_idiom,non_idiom
5679,The cassette tape was wrapped around the car's tape.,0,,,,non_idiom,non_idiom,non_idiom
5680,Cornstarch is used to thicken the sauce.,0,,,,non_idiom,non_idiom,non_idiom
5681,The operating table was covered with sterile cloth.,0,,,,non_idiom,non_idiom,non_idiom
5682,The key chain is in the shape of a card character,0,,,,non_idiom,non_idiom,non_idiom
5683,The ornamental plant was placed near the window.,0,,,,non_idiom,non_idiom,non_idiom
5684,The chili powder is sprinkled on top of the pizza.,0,,,,non_idiom,non_idiom,non_idiom
5685,The motorbike's ignition key was left in the keyhole.,0,,,,non_idiom,non_idiom,non_idiom
5686,The cake mold is greased with butter before use.,0,,,,non_idiom,non_idiom,non_idiom
5687,The capacitor was replaced due to damage to the circuit board.,0,,,,non_idiom,non_idiom,non_idiom
5688,The cat urine was cleaned with tissue.,0,,,,non_idiom,non_idiom,non_idiom
5689,The hot pot stand is made of wood.,0,,,,non_idiom,non_idiom,non_idiom
5690,The savings book printed the last balance.,0,,,,non_idiom,non_idiom,non_idiom
5691,The guitar amplifier volume was turned up by half.,0,,,,non_idiom,non_idiom,non_idiom
5692,The bottle brush is used to clean milk bottles.,0,,,,non_idiom,non_idiom,non_idiom
5693,The used newspaper is used to wrap the glass.,0,,,,non_idiom,non_idiom,non_idiom
5694,The rope was tied to the ship at the dock.,0,,,,non_idiom,non_idiom,non_idiom
5695,The red nail polish was applied to the fingernails.,0,,,,non_idiom,non_idiom,non_idiom
5696,The glue gun emits hot glue when heated.,0,,,,non_idiom,non_idiom,non_idiom
5697,The mailbox was full of brochures and bills.,0,,,,non_idiom,non_idiom,non_idiom
5698,Knee pads are worn when playing volleyball.,0,,,,non_idiom,non_idiom,non_idiom
5699,The ceramic plate broke when it fell from the table.,0,,,,non_idiom,non_idiom,non_idiom
5700,The right turn signal of the motorbike was flashing faster than usual.,0,,,,non_idiom,non_idiom,non_idiom
5701,Basil leaves are put into the rice wrap.,0,,,,non_idiom,non_idiom,non_idiom
5702,A 12-point wrench is used to tighten the wheel bolts.,0,,,,non_idiom,non_idiom,non_idiom
5703,The bamboo curtains were rolled up in the morning.,0,,,,non_idiom,non_idiom,non_idiom
5704,The water in the basin is mixed with washing soap.,0,,,,non_idiom,non_idiom,non_idiom
5705,The rear tire of the motorbike was already slippery.,0,,,,non_idiom,non_idiom,non_idiom
5706,The price label paper is attached to the product packaging.,0,,,,non_idiom,non_idiom,non_idiom
5707,The door hinges creaked as it opened.,0,,,,non_idiom,non_idiom,non_idiom
5708,The powder brush is used to spread the foundation evenly.,0,,,,non_idiom,non_idiom,non_idiom
5709,The satay skewers are made from shaved bamboo.,0,,,,non_idiom,non_idiom,non_idiom
5710,The motorbike's exhaust emitted thick white smoke.,0,,,,non_idiom,non_idiom,non_idiom
5711,The student's worksheet was done with a pencil.,0,,,,non_idiom,non_idiom,non_idiom
5712,Turmeric powder is sprinkled into curry dishes.,0,,,,non_idiom,non_idiom,non_idiom
5713,The television antenna mast was installed on the roof.,0,,,,non_idiom,non_idiom,non_idiom
5714,The colorful rubber bracelets were wrapped around the wrists.,0,,,,non_idiom,non_idiom,non_idiom
5715,Saliva came out of the baby's mouth.,0,,,,non_idiom,non_idiom,non_idiom
5716,The hair scissors are used to cut bangs.,0,,,,non_idiom,non_idiom,non_idiom
5717,The wooden spoon is used to stir the curry.,0,,,,non_idiom,non_idiom,non_idiom
5718,The AC remote control is not working because the battery is dead.,0,,,,non_idiom,non_idiom,non_idiom
5719,The charity box was placed near the mosque door.,0,,,,non_idiom,non_idiom,non_idiom
5720,The origami paper is folded to form a crane.,0,,,,non_idiom,non_idiom,non_idiom
5721,The rubber boots were worn during heavy rain.,0,,,,non_idiom,non_idiom,non_idiom
5722,The gallon lid is sealed with plastic before being opened.,0,,,,non_idiom,non_idiom,non_idiom
5723,The threaded rebar is used for foundation casting.,0,,,,non_idiom,non_idiom,non_idiom
5724,The cat's saliva dripped when it saw the fish.,0,,,,non_idiom,non_idiom,non_idiom
5725,The cookbook's pages were yellowing.,0,,,,non_idiom,non_idiom,non_idiom
5726,The lampshade is made of linen.,0,,,,non_idiom,non_idiom,non_idiom
5727,The red raffia rope was tied to the tree trunk.,0,,,,non_idiom,non_idiom,non_idiom
5728,The car's transmission oil is changed every 20 thousand kilometers.,0,,,,non_idiom,non_idiom,non_idiom
5729,The calligraphy pen was dipped in black ink.,0,,,,non_idiom,non_idiom,non_idiom
5730,The baking soda powder is mixed into the cake batter.,0,,,,non_idiom,non_idiom,non_idiom
5731,The wall fan rotates clockwise.,0,,,,non_idiom,non_idiom,non_idiom
5732,The glass jar contained candied cherries.,0,,,,non_idiom,non_idiom,non_idiom
5733,The counterfeit money detector is shone onto the banknote.,0,,,,non_idiom,non_idiom,non_idiom
5734,The banana peels were thrown into the organic waste bin.,0,,,,non_idiom,non_idiom,non_idiom
5735,The bag hanger is mounted on the wall behind the door.,0,,,,non_idiom,non_idiom,non_idiom
5736,The acrylic paint is applied to the canvas.,0,,,,non_idiom,non_idiom,non_idiom
5737,The rice spoon is made of teak wood.,0,,,,non_idiom,non_idiom,non_idiom
5738,The glass sticker was attached to the glass door of the meeting room.,0,,,,non_idiom,non_idiom,non_idiom
5739,The rainwater is collected in a large bucket.,0,,,,non_idiom,non_idiom,non_idiom
5740,The iron ruler is used to cut glass.,0,,,,non_idiom,non_idiom,non_idiom
5741,The meatballs are boiled in boiling water.,0,,,,non_idiom,non_idiom,non_idiom
5742,The printer ink was refilled at a computer store.,0,,,,non_idiom,non_idiom,non_idiom
5743,Boxing gloves are worn before a match.,0,,,,non_idiom,non_idiom,non_idiom
5744,The remaining food was thrown into the trash.,0,,,,non_idiom,non_idiom,non_idiom
5745,White Fox glue is used to stick paper.,0,,,,non_idiom,non_idiom,non_idiom
5746,The hanging scale is used to weigh sacks of rice.,0,,,,non_idiom,non_idiom,non_idiom
5747,The grinding stone spins rapidly as it sharpens the knife.,0,,,,non_idiom,non_idiom,non_idiom
5748,The eyeshadow brush is cleaned with a special cleaner.,0,,,,non_idiom,non_idiom,non_idiom
5749,The battery jumper cables are clamped to the positive and negative poles.,0,,,,non_idiom,non_idiom,non_idiom
5750,The jasmine flowers are arranged into a bouquet.,0,,,,non_idiom,non_idiom,non_idiom
5751,The bar of soap is placed on top of the soap dish.,0,,,,non_idiom,non_idiom,non_idiom
5752,The memory card has a capacity of 32 gigabytes.,0,,,,non_idiom,non_idiom,non_idiom
5753,The cow's milk is pasteurized before being sold.,0,,,,non_idiom,non_idiom,non_idiom
5754,The iron pipes were connected using electric welding.,0,,,,non_idiom,non_idiom,non_idiom
5755,The camphor was placed in the wardrobe.,0,,,,non_idiom,non_idiom,non_idiom
5756,The socket wrench is used to loosen the wheel nuts.,0,,,,non_idiom,non_idiom,non_idiom
5757,The shoelaces are inserted into the shoe holes one by one.,0,,,,non_idiom,non_idiom,non_idiom
5758,The wet clothes are put into the dryer.,0,,,,non_idiom,non_idiom,non_idiom
5759,The lemongrass leaves are crushed before being added to the sauce.,0,,,,non_idiom,non_idiom,non_idiom
5760,The opaque paper was used to write the draft of the letter.,0,,,,non_idiom,non_idiom,non_idiom
5761,The parabolic antenna is pointed at a specific satellite.,0,,,,non_idiom,non_idiom,non_idiom
5762,The cookie cutters are in the shape of stars and crescent moons.,0,,,,non_idiom,non_idiom,non_idiom
5763,The cloth is used to clean the machine.,0,,,,non_idiom,non_idiom,non_idiom
5764,The floor cleaning fluid is mixed with water in a bucket.,0,,,,non_idiom,non_idiom,non_idiom
5765,The doorbell rang when the rope was pulled.,0,,,,non_idiom,non_idiom,non_idiom
5766,The ginger powder is brewed with hot water and brown sugar.,0,,,,non_idiom,non_idiom,non_idiom
5767,The motorbike seat is covered with a parachute seat cover.,0,,,,non_idiom,non_idiom,non_idiom
5768,The measuring tape is 5 meters long.,0,,,,non_idiom,non_idiom,non_idiom
5769,The plastic press tool is used to package snacks.,0,,,,non_idiom,non_idiom,non_idiom
5770,The hoe is used to loosen the soil.,0,,,,non_idiom,non_idiom,non_idiom
5771,The gravel was spread over the path.,0,,,,non_idiom,non_idiom,non_idiom
5772,Rice paper is used as a base for wrapping packaged rice,0,,,,non_idiom,non_idiom,non_idiom
5773,The hand flashlight was held while walking in a dark place.,0,,,,non_idiom,non_idiom,non_idiom
5774,The tissue holder was placed on the dining table.,0,,,,non_idiom,non_idiom,non_idiom
5775,The rubber band was wrapped around several pieces of paper money.,0,,,,non_idiom,non_idiom,non_idiom
5776,The dish soap was poured onto the sponge.,0,,,,non_idiom,non_idiom,non_idiom
5777,The test tube is filled with a chemical solution.,0,,,,non_idiom,non_idiom,non_idiom
5778,The shirt was ironed at high heat,0,,,,non_idiom,non_idiom,non_idiom
5779,The pepper powder is sprinkled on top of the cream soup.,0,,,,non_idiom,non_idiom,non_idiom
5780,The lawn mower was pushed around the yard.,0,,,,non_idiom,non_idiom,non_idiom
5781,The coasters are made of woven rattan.,0,,,,non_idiom,non_idiom,non_idiom
5782,The rose water is stored in a glass spray bottle.,0,,,,non_idiom,non_idiom,non_idiom
5783,The combination ring wrench measures 10 millimeters.,0,,,,non_idiom,non_idiom,non_idiom
5784,The hair pin is used to secure the hair bun.,0,,,,non_idiom,non_idiom,non_idiom
5785,The patchwork was sewn into a small blanket.,0,,,,non_idiom,non_idiom,non_idiom
5786,The concrete mold is removed after the cement dries.,0,,,,non_idiom,non_idiom,non_idiom
5787,The wooden match was scratched on the side of the box.,0,,,,non_idiom,non_idiom,non_idiom
5788,The cloth mask is washed after being worn all day.,0,,,,non_idiom,non_idiom,non_idiom
5789,Silica sand is used as a water filter medium.,0,,,,non_idiom,non_idiom,non_idiom
5790,The bottle opener is made of metal.,0,,,,non_idiom,non_idiom,non_idiom
5791,The fishing net was drifted in the middle of the sea.,0,,,,non_idiom,non_idiom,non_idiom
5792,The chocolate powder is sprinkled on top of the latte.,0,,,,non_idiom,non_idiom,non_idiom
5793,The hand fan was waved over his sweaty face.,0,,,,non_idiom,non_idiom,non_idiom
5794,The broom handle broke while sweeping.,0,,,,non_idiom,non_idiom,non_idiom
5795,The sewing thread is inserted into the eye of the needle.,0,,,,non_idiom,non_idiom,non_idiom
5796,The sponge cake was cut using a serrated knife.,0,,,,non_idiom,non_idiom,non_idiom
5797,The infusion fluid drips through the tube into the blood vessels.,0,,,,non_idiom,non_idiom,non_idiom
5798,The railway tracks are made of steel and are mounted on sleepers.,0,,,,non_idiom,non_idiom,non_idiom
5799,The sugar cane juice is squeezed directly from the sugar cane stalks.,0,,,,non_idiom,non_idiom,non_idiom
5800,The wrench is used to turn a stuck bolt.,0,,,,non_idiom,non_idiom,non_idiom
5801,The pandan leaves are tied in a knot before being boiled.,0,,,,non_idiom,non_idiom,non_idiom
5802,The brong exhaust makes a very loud sound.,0,,,,non_idiom,non_idiom,non_idiom
5803,The hanging scales are hung on an iron hook.,0,,,,non_idiom,non_idiom,non_idiom
5804,The toy flying saucer is made of plastic.,0,,,,non_idiom,non_idiom,non_idiom
5805,The axle oil is changed every 10 thousand kilometers.,0,,,,non_idiom,non_idiom,non_idiom
5806,The school yearbook contains photos of all the students.,0,,,,non_idiom,non_idiom,non_idiom
5807,The UTP cable is stripped at the end to make an RJ45 connector.,0,,,,non_idiom,non_idiom,non_idiom
5808,The powdered soap is dissolved in hot water.,0,,,,non_idiom,non_idiom,non_idiom
5809,The pot holder is made of woven pandan leaves.,0,,,,non_idiom,non_idiom,non_idiom
5810,The lamp in the classroom was flickering.,0,,,,non_idiom,non_idiom,non_idiom
5811,The watermelon skin is sliced ??into small pieces for the rujak mixture.,0,,,,non_idiom,non_idiom,non_idiom
5812,The clamp is used to clamp the iron when filing.,0,,,,non_idiom,non_idiom,non_idiom
5813,The old coconut water is mixed with a little salt.,0,,,,non_idiom,non_idiom,non_idiom
5814,The roller skates have four wheels.,0,,,,non_idiom,non_idiom,non_idiom
5815,1000 grit sandpaper is used to smooth the putty.,0,,,,non_idiom,non_idiom,non_idiom
5816,The agar-agar powder is cooked with sugar and water.,0,,,,non_idiom,non_idiom,non_idiom
5817,The ear cotton is cleaned with a cotton swab.,0,,,,non_idiom,non_idiom,non_idiom
5818,The band saw cuts wood quickly.,0,,,,non_idiom,non_idiom,non_idiom
5819,Guide ropes are installed along the climbing route.,0,,,,non_idiom,non_idiom,non_idiom
5820,The oil paint brush was cleaned with thinner.,0,,,,non_idiom,non_idiom,non_idiom
5821,Teak leaves are used as a wrapper for tempeh.,0,,,,non_idiom,non_idiom,non_idiom
5822,The motorcycle drum brakes make a noise when braking.,0,,,,non_idiom,non_idiom,non_idiom
5823,The orange paper is used as a base for fried food.,0,,,,non_idiom,non_idiom,non_idiom
5824,The combination pliers have movable jaws.,0,,,,non_idiom,non_idiom,non_idiom
5825,The rice washing water is used to water the plants.,0,,,,non_idiom,non_idiom,non_idiom
5826,The lathe rotates to form the workpiece.,0,,,,non_idiom,non_idiom,non_idiom
5827,The pressure cooker lid cannot be opened before the steam has run out.,0,,,,non_idiom,non_idiom,non_idiom
5828,The unbleached cloth was cut to make clothes.,0,,,,non_idiom,non_idiom,non_idiom
5829,The batik wax is melted on a small stove.,0,,,,non_idiom,non_idiom,non_idiom
5830,The stipo pen is used to cover up typos.,0,,,,non_idiom,non_idiom,non_idiom
5831,The tubeless tire had a small leak on the tread.,0,,,,non_idiom,non_idiom,non_idiom
5832,The measuring spoon is used to measure baby porridge.,0,,,,non_idiom,non_idiom,non_idiom
5833,The parchment paper was smeared with margarine.,0,,,,non_idiom,non_idiom,non_idiom
5834,UNP iron is used as a ceiling frame.,0,,,,non_idiom,non_idiom,non_idiom
5835,The water used to soak the mung beans is discarded before cooking.,0,,,,non_idiom,non_idiom,non_idiom
5836,The fuse box contains several spare fuses.,0,,,,non_idiom,non_idiom,non_idiom
5837,The scout rope was used to make a makeshift stretcher.,0,,,,non_idiom,non_idiom,non_idiom
5838,The cinnamon powder is sprinkled on top of the toast.,0,,,,non_idiom,non_idiom,non_idiom
5839,The hacksaw's blade was already dull.,0,,,,non_idiom,non_idiom,non_idiom
5840,The stainless steel bowl is used for mixing the dough.,0,,,,non_idiom,non_idiom,non_idiom
5841,The car's carburetor is dirty and needs to be cleaned.,0,,,,non_idiom,non_idiom,non_idiom
5842,The SIM card is cut to nano size.,0,,,,non_idiom,non_idiom,non_idiom
5843,Bedouins drink camel urine.,0,,,,non_idiom,non_idiom,non_idiom
5844,The coffee cup had a broken handle.,0,,,,non_idiom,non_idiom,non_idiom
5845,The timing belt rubber was cracked.,0,,,,non_idiom,non_idiom,non_idiom
5846,The red litmus paper turned blue.,0,,,,non_idiom,non_idiom,non_idiom
5847,The coal is burned in power plants.,0,,,,non_idiom,non_idiom,non_idiom
5848,The hair dye brush is applied from root to tip.,0,,,,non_idiom,non_idiom,non_idiom
5849,The mouse pad is made of rubber and cloth.,0,,,,non_idiom,non_idiom,non_idiom
5850,The boiled water from betel leaves is used for gargling.,0,,,,non_idiom,non_idiom,non_idiom
5851,The water pipe was clogged because it was clogged with hair.,0,,,,non_idiom,non_idiom,non_idiom
5852,The potato peeler peels off the skin thinly.,0,,,,non_idiom,non_idiom,non_idiom
5853,The sand shovel is used to move the sand to the cart.,0,,,,non_idiom,non_idiom,non_idiom
5854,The comic ink is colored with watercolors.,0,,,,non_idiom,non_idiom,non_idiom
5855,The racing exhaust does not have a sound dampener.,0,,,,non_idiom,non_idiom,non_idiom
5856,The service manual explains how to repair the machine.,0,,,,non_idiom,non_idiom,non_idiom
5857,Jumper cables are used to start a stalled car.,0,,,,non_idiom,non_idiom,non_idiom
5858,The shallot skin is peeled and discarded.,0,,,,non_idiom,non_idiom,non_idiom
5859,The anchor rope was tied to a bollard on the pier.,0,,,,non_idiom,non_idiom,non_idiom
5860,The hand grinder is equipped with a cutting grinding stone.,0,,,,non_idiom,non_idiom,non_idiom
5861,The tape water tastes sweet and slightly alcoholic.,0,,,,non_idiom,non_idiom,non_idiom
5862,The hex L key is used to assemble IKEA furniture.,0,,,,non_idiom,non_idiom,non_idiom
5863,The dried bay leaves are crushed before being added.,0,,,,non_idiom,non_idiom,non_idiom
5864,The futsal shoes have short rubber spiked soles.,0,,,,non_idiom,non_idiom,non_idiom
5865,The MSG powder is sprinkled a little into the soup.,0,,,,non_idiom,non_idiom,non_idiom
5866,Cosmetic cotton is used to remove makeup.,0,,,,non_idiom,non_idiom,non_idiom
5867,The capillary tube has a very small diameter.,0,,,,non_idiom,non_idiom,non_idiom
5868,The glass cutter was drawn straight across the surface.,0,,,,non_idiom,non_idiom,non_idiom
5869,The tapioca flour is mixed with hot water until it thickens.,0,,,,non_idiom,non_idiom,non_idiom
5870,The shockbreaker key is used to open the suspension bolts.,0,,,,non_idiom,non_idiom,non_idiom
5871,The dew sticks to the leaves in the morning.,0,,,,non_idiom,non_idiom,non_idiom
5872,The massage chair is equipped with a vibrating motor.,0,,,,non_idiom,non_idiom,non_idiom
5873,Tracing paper is used to trace the image.,0,,,,non_idiom,non_idiom,non_idiom
5874,Galvanized hollow iron is rust resistant.,0,,,,non_idiom,non_idiom,non_idiom
5875,The candidate's brush is used for painting calligraphy.,0,,,,non_idiom,non_idiom,non_idiom
5876,Don't open the car radiator cap when the engine is hot.,0,,,,non_idiom,non_idiom,non_idiom
