id,kalimat,has_idiom,idiom_text,emotion,idiom_meaning,annotator_1,annotator_2,annotator_3
4702,"Percuma bicara sama kamu, dasar hati batu",1.0,Hati batu,marah,tidak memiliki empati,marah,marah,marah
4703,Pergi dari sini sebelum aku buat kalian mandi darah disini,1.0,Mandi darah,marah,Berperang hebat sehingga banyak luka,marah,marah,marah
4704,Dasar berat kepala begitu saja tidak tahu,1.0,Berat kepala,marah,Tidak mudah mengerti,marah,marah,marah
4705,Urusan ini bahaya kamu sudah tergadai kepala jangan main-main,1.0,Tergadai kepala,marah,Terlanjur terikat pada suatu masalah,marah,marah,marah
4706,Aku benci sekali melihat mukamu yang berkepala dua itu,1.0,berkepala dua,marah,memihak ke sana ke sini,marah,percaya,marah
4707,Tutup mulutmu jangan jadi orang tipis bibir,1.0,Tipis bibir,marah,Cerewet,marah,marah,marah
4708,dasar lidah bercabang tidak ada lagi yang bisa dipercaya,1.0,Lidah bercabang,marah,Perkataan selalu berubah-ubah,marah,marah,marah
4709,cepat kerja jangan seperti berat tangan begitu,1.0,berat tangan,marah,malas bekerja,marah,marah,percaya
4710,Pengecut kamu beraninya saat ada masalah langsung kaki seribu,1.0,Kaki seribu,marah,Berlari ketakutan,marah,marah,marah
4711,"awas kamu, aku tahu kamu hati berbulu selalu saja punya niat jahat",1.0,Hati berbulu,marah,Dengki,marah,marah,marah
4712,Sifat licikmu itu tidak lekang oleh panas masih saja berulah,1.0,Tidak lekang oleh panas,marah,Tidak berubah sedikitpun,marah,marah,marah
4713,mampus akhirnya kamu tertangkap basah juga,1.0,tertangkap basah,marah,Tertangkap ketika sedang melakukan kejahatan,marah,marah,marah
4714,jangan harap dipercaya kalau kamu panjang akal begini,1.0,Panjang akal,marah,Pandai mencari akal,marah,sedih,marah
4715,Jangan jadi besar perut semua sudah kamu habiskan,1.0,Besar perut,marah,Rakus,marah,marah,marah
4716,"Cukup aku marah sekali, selalu jadi bulan-bulanan kalian",1.0,Bulan bulanan,marah,sasaran,marah,marah,marah
4717,pantas saja kamu jadi jahat begitu dasar salah air,1.0,Salah air,marah,salah didikan,marah,marah,marah
4718,tutup mulutmu jangan coba adu domba kami,1.0,Adu domba,marah,Menghasut,marah,marah,marah
4719,berhenti pakai akal kancil dasar penipu,1.0,Akal kancil,marah,Tipu muslihat yang sangat licik,marah,percaya,takut
4720,jauh-jauh dari ku dasar buaya darat,1.0,Buaya darat,marah,Laki-laki yang suka berganti pasangan,marah,marah,marah
4721,berhenti bertindak membabi buta dasar gila,1.0,Membabi buta,marah,Melakukan sesuatu secara nekat,marah,marah,marah
4722,"pergi dari sini buaya darat, semua wanita kamu dekati",1.0,Buaya darat,marah,Laki-laki yang suka berganti pasangan,marah,marah,senang
4723,"Kamu itu kalau bertindak selalu membabi buta, bikin aku naik darah",1.0,Membabi buta,marah,Melakukan sesuatu secara nekat,marah,marah,marah
4724,gara-gara kamu urusan ini jadi mati ayam,1.0,Mati ayam,marah,Sia-sia,marah,senang,marah
4725,kamu keluyuran terus kayak kupu-kupu malam,1.0,Kupu-kupu malam,marah,Pelacur,marah,marah,marah
4726,"Berhenti cari jalan pintas, bikin rusak semua kerjaan",1.0,Jalan pintas,marah,Tidak ikut aturan,marah,marah,terkejut
4727,"Jangan jadikan aku kelinci percobaan lagi, aku sudah cukup kesal",1.0,Kelinci percobaan,marah,Dimanfaatkan sebagai percobaan,marah,takut,marah
4728,"Aku marah besar, kamu hanya menjadikanku sapi perah",1.0,sapi perah,marah,Orang yang diperas tenaganya,marah,marah,marah
4729,"Sikapmu itu benar-benar besar kepala, tidak bisa diatur sama sekali",1.0,besar kepala,marah,sombong,marah,marah,marah
4730,"Setiap diajak bicara malah buang muka, sikapmu sangat buruk",1.0,buang muka,marah,berpaling tidak mau tahu,marah,netral,sedih
4731,Sudah jelas salah tapi tetap keras kepala,1.0,keras kepala,marah,tidak mau menurut,marah,marah,marah
4732,dasar tebal muka,1.0,tebal muka,marah,tidak tahu malu,marah,marah,marah
4733,"Cara bicaramu itu tinggi hati sekali, bikin orang kesal",1.0,tinggi hati,marah,sombong,marah,marah,marah
4734,muak lihat sifat cari muka mu setiap ada kesempatan,1.0,cari muka,marah,cari perhatian,marah,marah,netral
4735,"begitu ada masalah langsung lepas tangan, dasar pengecut",1.0,lepas tangan,marah,tidak tanggung jawab,marah,sedih,marah
4736,"Jangan coba-coba main mata di depanku, aku tidak bodoh",1.0,main mata,marah,menggoda,marah,marah,marah
4737,"Kelakuanmu itu sudah jelas main serong, memalukan",1.0,main serong,marah,berselingkuh,marah,marah,marah
4738,"Tidak pernah kerja serius tapi tetap terima uang, dasar gaji buta",1.0,gaji buta,marah,mendapat hasil tanpa kerja jelas,marah,marah,marah
4739,Sudah jelas salah masih saja tebal muka,1.0,tebal muka,marah,tidak tahu malu,marah,marah,marah
4740,"dasar orang sakit mata, tidak bisa lihat orang bahagia sedikit",1.0,sakit mata,marah,iri,marah,marah,marah
4741,sudah dibilang berkali-kali tetap tebal telinga,1.0,tebal telinga,marah,tidak mau mendengar,marah,marah,marah
4742,"Kalau tidak bisa bersikap baik, lebih baik angkat kaki sekarang juga",1.0,angkat kaki,marah,pergi meninggalkan tempat,marah,marah,marah
4743,"Belum paham apa-apa tapi sudah banyak mulut, menyebalkan sekali",1.0,banyak mulut,marah,terlalu banyak bicara,marah,marah,marah
4744,"Kamu masih bau kencur, jangan sok mengatur",1.0,bau kencur,marah,Masih belum berpengalaman,marah,marah,marah
4745,"Cara berpikirmu itu benar-benar bengkok hati, tidak bisa dipercaya",1.0,bengkok hati,marah,licik,marah,marah,marah
4746,"Menyakiti orang lain tapi tetap darah dingin, kejam sekali",1.0,darah dingin,marah,tidak memiliki perasaan,marah,sedih,marah
4747,"Omonganmu saja besar mulut, tapi tidak ada bukti",1.0,besar mulut,marah,terlalu banyak bicara,marah,marah,marah
4748,"Urusan orang lain terus kamu campur tangan, bikin kesal",1.0,campur tangan,marah,Ikut terlibat tanpa diminta,marah,marah,marah
4749,"Cara bicaramu seperti mau cuci otak orang, berhenti sekarang",1.0,cuci otak,marah,Mempengaruhi pikiran,marah,marah,marah
4750,"Emosi sedikit saja kamu langsung gelap mata, benar-benar tidak terkendali",1.0,gelap mata,marah,hilang kesabaran,marah,marah,marah
4751,"sikapmu itu seperti haus darah, tidak punya belas kasihan",1.0,haus darah,marah,sangat kejam,marah,marah,marah
4752,"Ditegur seperti apa pun tetap saja begitu, benar-benar kulit badak",1.0,kulit badak,marah,Tidak tahu malu,marah,takut,marah
4753,"Sikapmu sekarang sudah lupa daratan, sombong sekali",1.0,lupa daratan,marah,angkuh,marah,marah,marah
4754,aku muak ada masalah sedikit kamu langsung main tangan,1.0,main tangan,marah,memukul,marah,marah,marah
4755,"Jangan pura-pura baik, aku sudah tahu kamu muka dua",1.0,muka dua,marah,Bersikap berbeda di depan dan di belakang,marah,marah,marah
4756,hal sederhana saja kamu tidak paham dasar otak udang,1.0,otak udang,marah,Bodoh,marah,marah,marah
4757,"Aku benar-benar geram, hal sepele saja kamu jadikan alasan untuk ringan tangan",1.0,ringan tangan,marah,Mudah memukul,marah,marah,marah
4758,"Cara memimpin seperti ini keterlaluan, penuh tangan besi",1.0,tangan besi,marah,Mengatur dengan kekerasan,marah,marah,marah
4759,"ketahuan salah besar, masih berani tampil, muka tembok",1.0,muka tembok,marah,tidak punya rasa malu,marah,marah,marah
4760,Dari cara bicara saja sudah kelihatan kamu hati busuk,1.0,hati busuk,marah,berniat buruk,marah,marah,marah
4761,kuping panas aku setiap dengar kamu berbicara,1.0,kuping panas,marah,perasaan kesal,marah,marah,marah
4762,Setelah semua berantakan malah pilih cuci tangan keterlaluan kamu,1.0,Cuci tangan,marah,Melakukan perbuatan buruk kemudian pura-pura tidak mengetahuinya,marah,marah,marah
4763,"Merugikan sekali kamu, dasar tikus kantor",1.0,Tikus kantor,marah,Koruptor,marah,marah,takut
4764,"Perilaku seperti ini pantas masuk daftar hitam, tidak bisa ditoleransi",1.0,Daftar Hitam,marah,daftar orang yang berbuat kejahatan,marah,marah,marah
4765,"Tingkah mu itu sudah jadi buah bibir, memalukan saja",1.0,Buah bibir,marah,bahan pembicaraan orang,marah,marah,marah
4766,"Cara kotor seperti itu jelas di bawah tangan, licik sekali",1.0,Dibawah tangan,marah,Tidak secara resmi,marah,marah,marah
4767,Cukup jangan bicara lagi omongan mu hanya isapan jempol,1.0,Isapan jempol,marah,Berita bohong,marah,senang,marah
4768,masih kabar angin kamu sudah sebarkan kesana kemari,1.0,Kabar angin,marah,Berita yang belum jelas kebenarannya,marah,marah,marah
4769,jangan sampai aku lepas kontrol gara-gara sifat kalian,1.0,Lepas kontrol,marah,Tidak terkendali,marah,marah,marah
4770,sudah tua masih saja mata keranjang,1.0,Mata keranjang,marah,Suka melirik,marah,marah,marah
4771,masalah ini jadi besar karena sifat mu yang panjang lidah,1.0,Panjang lidah,marah,Suka mengadu,marah,marah,marah
4772,"Dasar lintah darat, tidak ada ampun",1.0,lintah darat,marah,rentenir,marah,marah,marah
4773,"Lancang mulut terus, tidak tahu batas",1.0,Lancang Mulut,marah,Berbicara seenaknya,marah,marah,marah
4774,"Sudah jelas salah, masih cari kambing hitam",1.0,Kambing hitam,marah,Orang yang dipersalahkan atas kesalahan orang lain,marah,marah,marah
4775,"Jelas itu uang panas, masih dipakai",1.0,Uang panas,marah,Uang yang diperoleh secara tidak jujur,marah,marah,marah
4776,"Jangan sok adil, jelas berat sebelah",1.0,Berat sebelah,marah,Bersikap tidak adil,marah,marah,marah
4777,Semua kacau karena biang keladi itu,1.0,Biang keladi,marah,Penyebab utama terjadinya masalah,marah,marah,marah
4778,"Sekali lagi begitu, bogem mentah melayang",1.0,Bogem mentah,marah,Pukulan dengan kepalan tangan,marah,marah,marah
4779,"Buta hati sekali kamu, tega begitu",1.0,Buta hati,marah,Tidak ada perasaan belas kasihan,marah,marah,marah
4780,"Cepat mulut begitu, semua jadi kacau",1.0,Cepat Mulut,marah,Tidak dapat menyimpan rahasia,marah,marah,marah
4781,"Debat kusir terus, tidak ada hasil",1.0,Debat kusir,marah,Debat yang tidak disertai alasan masuk akal,marah,marah,marah
4782,"Kamu ini salah air, tidak tahu aturan",1.0,Salah air,marah,salah didikan,marah,marah,marah
4783,Jangan coba adu domba lagi,1.0,Adu domba,marah,Menghasut,marah,marah,marah
4784,"Akal kancil terus, licik sekali",1.0,Akal kancil,marah,Tipu muslihat yang sangat licik,marah,marah,marah
4785,"Dasar buaya darat, tidak pernah bersyukur",1.0,Buaya darat,marah,Laki-laki yang suka berganti pasangan,marah,marah,marah
4786,"Membabi buta begitu, bikin masalah saja",1.0,Membabi buta,marah,Melakukan sesuatu secara nekat,marah,marah,marah
4787,"Dari awal sudah mati ayam, percuma",1.0,Mati ayam,marah,Sia-sia,marah,marah,marah
4788,Berhenti jadi kupu-kupu malam,1.0,Kupu-kupu malam,marah,Pelacur,marah,marah,marah
4789,"Jalan pintas terus, mau enaknya saja",1.0,Jalan pintas,marah,Tidak ikut aturan,marah,marah,marah
4790,Enak saja aku jadi kelinci percobaan kalian,1.0,Kelinci percobaan,marah,Dimanfaatkan sebagai percobaan,marah,marah,marah
4791,"Kerjaku diperas, seperti sapi perah",1.0,sapi perah,marah,Orang yang diperas tenaganya,marah,marah,marah
4792,"Bengkok hati begitu, tidak bisa dipercaya",1.0,bengkok hati,marah,licik,marah,marah,marah
4793,"Kamu itu darah dingin, tidak ada hati",1.0,darah dingin,marah,tidak memiliki perasaan,marah,marah,marah
4794,"Sudah, berhenti besar mulut",1.0,besar mulut,marah,terlalu banyak bicara,marah,marah,marah
4795,Jangan seenaknya campur tangan,1.0,campur tangan,marah,Ikut terlibat tanpa diminta,marah,marah,marah
4796,kamu jangan coba-coba cuci otak orang lagi,1.0,cuci otak,marah,Mempengaruhi pikiran,marah,marah,marah
4797,"Hentikan, sebelum saya gelap mata",1.0,gelap mata,marah,hilang kesabaran,marah,marah,marah
4798,"Haus darah terus, menyiksa orang",1.0,haus darah,marah,sangat kejam,marah,marah,marah
4799,"Sikapmu kulit badak, memalukan",1.0,kulit badak,marah,Tidak tahu malu,marah,marah,marah
4800,"Lihat dirimu, sudah lupa daratan",1.0,lupa daratan,marah,angkuh,marah,marah,marah
4801,"Hentikan, sebelum aku main tangan",1.0,main tangan,marah,memukul,marah,marah,marah
4802,"Sikapmu keras hati, menyulitkan semua orang",1.0,Keras hati,marah,Menurut kemauannya sendiri,marah,marah,marah
4803,Kamu terlalu dua hati dalam mengambil keputusan,1.0,dua hati,marah,bimbang,marah,marah,marah
4804,"Hati batu sekali, tidak peduli orang lain",1.0,Hati batu,marah,tidak memiliki empati,marah,marah,marah
4805,Jangan sampai terjadi mandi darah,1.0,Mandi darah,marah,Berperang hebat sehingga banyak luka,marah,marah,marah
4806,"Berat kepala sekali, tidak mau dengar",1.0,Berat kepala,marah,Tidak mudah mengerti,marah,marah,marah
4807,Jangan sampai kamu terus tergadai kepala dalam situasi ini,1.0,Tergadai kepala,marah,Terlanjur terikat pada suatu masalah,marah,marah,marah
4808,"Berkepala dua seperti itu, jangan harap aku percaya lagi",1.0,berkepala dua,marah,memihak ke sana ke sini,marah,marah,marah
4809,"Jangan tipis bibir terus, berhenti sebelum makin masalah",1.0,Tipis bibir,marah,Cerewet,marah,marah,marah
4810,"Jangan lidah bercabang terus, pilih satu ucapan yang benar",1.0,Lidah bercabang,marah,Perkataan selalu berubah-ubah,marah,marah,marah
4811,"Berat tangan terus, kapan mau berubah",1.0,berat tangan,marah,malas bekerja,marah,marah,marah
4812,"Jangan coba-coba pakai akal bulus lagi, atau urusannya jadi panjang",1.0,Akal bulus,marah,akal licik,marah,marah,marah
4813,"Terpaksa dilakukan dengan berat hati, tapi jangan kamu ulangi lagi",1.0,Berat hati,marah,Terpaksa melakukan sesuatu,marah,marah,marah
4814,"Berhenti bersilat lidah sekarang, atau semua akan dibongkar",1.0,Bersilat lidah,marah,mengelak,marah,marah,marah
4815,"Keserakahan seperti itu besar perut sekali, bisa berujung masalah",1.0,Besar perut,marah,Rakus,marah,marah,marah
4816,"Terus saja jadikan orang bulan-bulanan, lihat saja akibatnya",1.0,Bulan bulanan,marah,sasaran,marah,marah,marah
4817,"Sikap gila hormat seperti itu, cepat atau lambat akan dibalas",1.0,Gila hormat,marah,suka dihormati berlebihan,marah,marah,marah
4818,"Jangan simpan hati berbulu seperti itu, bisa jadi bumerang",1.0,Hati berbulu,marah,Dengki,marah,marah,marah
4819,"Emosiku sudah sampai hati mendidih, jangan sampai meledak",1.0,Hati mendidih,marah,Marah sekali,marah,marah,marah
4820,"Kelakuan hidung belang seperti itu, jangan sampai terbongkar semua",1.0,Hidung belang,marah,Laki-laki nakal,marah,marah,marah
4821,"Cara hukum rimba seperti itu, jangan salah kalau dibalas lebih keras",1.0,Hukum rimba,marah,siapa kuat dia berkuasa,marah,marah,marah
4822,"Berani di sini saja, dasar jago kandang, coba keluar sedikit",1.0,Jago kandang,marah,Orang yang hanya berani di lingkungannya sendiri,marah,marah,marah
4823,Baru ditekan sedikit langsung kaki seribu,1.0,Kaki seribu,marah,Berlari ketakutan,marah,marah,marah
4824,"Sikapmu itu kepala angin, jangan bikin masalah terus",1.0,Kepala angin,marah,labil,marah,marah,marah
4825,"Sudah jelas salah tetap keras, benar-benar kepala batu",1.0,Kepala batu,marah,Bebal,marah,marah,marah
4826,"Kerja orang lain terus ditiru, leher panjang sekali, memalukan",1.0,Leher panjang,marah,Suka meniru pekerjaan orang lain,marah,marah,marah
4827,"Diam saja tanpa sikap, lemah tulang seperti itu tidak bisa dibiarkan",1.0,Lemah tulang,marah,Tidak tegas,marah,marah,marah
4828,"Berani lempar batu sembunyi tangan, sekali ketahuan urusannya panjang",1.0,Lempar batu sembunyi tangan,marah,Melakukan perbuatan buruk kemudian pura-pura tidak mengetahuinya,marah,marah,marah
4829,"Sikap seperti itu sudah lupa diri, jangan sampai jatuh sendiri",1.0,Lupa diri,marah,Menjadi sombong,marah,marah,marah
4830,"Hasil orang lain diambil begitu saja, makan tulang sekali, keterlaluan",1.0,Makan tulang,marah,Mengambil keuntungan dari hasil kerja orang lain,marah,marah,marah
4831,"Semua dinilai dari uang, dasar mata duitan, bisa celaka nanti",1.0,Mata duitan,marah,Hanya memikirkan uang,marah,marah,marah
4832,"jangan kira tidak ketahuan, kamu jelas mata-mata",1.0,Mata-mata,marah,Orang yang mengawasi secara diam-diam,marah,marah,marah
4833,"Sudah jelas merah telinga, jangan pancing emosi lagi",1.0,Merah telinga,marah,Dipenuhi kemarahan,marah,marah,marah
4834,"Wajah seperti itu muka masam terus, bikin suasana rusak",1.0,Muka masam,marah,Cemberut,marah,marah,marah
4835,"Masuk ke situ sama saja ke mulut harimau, siap terima akibatnya",1.0,Mulut harimau,marah,Bahaya,marah,marah,sedih
4836,"Emosi seperti ini sudah naik darah, jangan cari masalah",1.0,Naik darah,marah,marah,marah,marah,marah
4837,"Ucapan seperti itu omong kosong, jangan asal bicara",1.0,Omong kosong,marah,Bualan,marah,marah,marah
4838,"Cara berpikir seperti itu otak miring, bisa bikin masalah besar",1.0,Otak miring,marah,Tidak waras,marah,marah,marah
4839,"Sikap seperti itu jelas panas hati, jangan sampai meledak",1.0,Panas hati,marah,Iri hati,marah,marah,marah
4840,"masalah sebesar ini malah pangku tangan, dasar tidak berguna",1.0,Pangku tangan,marah,Tidak berbuat apa-apa,marah,takut,marah
4841,"barangku hilang terus, jelas sekali ulah panjang tangan",1.0,Panjang tangan,marah,pencuri,marah,marah,marah
4842,"Rahasia saja dibocorkan, benar-benar rapuh mulut",1.0,Rapuh mulut,marah,Suka membocorkan rahasia,marah,marah,marah
4843,"Jangan lihat orang sebelah mata, itu merendahkan",1.0,Sebelah mata,marah,Meremehkan,marah,marah,marah
4844,"Dikit saja tidak terima, dasar sempit hati",1.0,Sempit hati,marah,tidak lapang dada,marah,marah,takut
4845,"Sudah jelas tertangkap basah, masih mau mengelak",1.0,Tertangkap basah,marah,Tertangkap ketika sedang melakukan kejahatan,marah,marah,marah
4846,"Sikap buruk itu tetap saja, tidak lekang oleh panas",1.0,Tidak lekang oleh panas,marah,Tidak berubah sedikitpun,marah,marah,marah
4847,"Baru punya jabatan sudah tinggi kursi, menyebalkan",1.0,Tinggi kursi,marah,sombong,marah,percaya,marah
4848,"Ditegur sedikit langsung marah, tipis telinga sekali",1.0,Tipis telinga,marah,Mudah tersinggung,marah,marah,marah
4849,"Melihat kekacauan semua ini, kamu malah tutup mata",1.0,Tutup mata,marah,Acuh terhadap apa yang terjadi,marah,marah,terkejut
4850,"Semua sibuk bergerak, kamu malah pangku tangan saja",1.0,Pangku tangan,marah,Tidak berbuat apa-apa,marah,marah,marah
4851,"Sekali lagi ketahuan panjang tangan, hukumannya tidak akan ringan",1.0,Panjang tangan,marah,pencuri,marah,percaya,marah
4852,"Baru diberi kepercayaan langsung bocor, rapuh mulut sekali",1.0,Rapuh mulut,marah,Suka membocorkan rahasia,marah,marah,marah
4853,"Cara kamu menilai seperti itu jelas sebelah mata, keterlaluan",1.0,Sebelah mata,marah,Meremehkan,marah,marah,marah
4854,"Hal kecil saja dipermasalahkan, benar-benar sempit hati",1.0,Sempit hati,marah,tidak lapang dada,marah,marah,marah
4855,"Tertangkap basah seperti itu, siap-siap kamu terima akibatnya",1.0,Tertangkap basah,marah,Tertangkap ketika sedang melakukan kejahatan,marah,marah,marah
4856,"Sudah diperingatkan berkali-kali tetap sama, tidak lekang oleh panas, keras sekali",1.0,Tidak lekang oleh panas,marah,Tidak berubah sedikitpun,marah,marah,marah
4857,Sikapmu yang tinggi kursi seperti itu cepat atau lambat akan dijatuhkan,1.0,Tinggi kursi,marah,sombong,marah,marah,marah
4858,"Tipis telinga parah, ngomong apa pun kayak bikin perang",1.0,Tipis telinga,marah,Mudah tersinggung,marah,marah,marah
4859,"kamu tutup mata begitu saja, lihat sendiri akibatnya nanti",1.0,Tutup mata,marah,Acuh terhadap apa yang terjadi,marah,marah,marah
4860,"Ambil kerja orang lain seenaknya, makan tulang banget",1.0,Makan tulang,marah,Mengambil keuntungan dari hasil kerja orang lain,marah,marah,sedih
4861,"Hanya mikirin uang terus, dasar mata duitan",1.0,Mata duitan,marah,Hanya memikirkan uang,marah,marah,marah
4862,"Gerak-gerikmu jelas mata-mata, lihat sendiri akibatnya nanti",1.0,Mata-mata,marah,Orang yang mengawasi secara diam-diam,marah,marah,marah
4863,Ucapannya bikin merah telinga semua orang,1.0,Merah telinga,marah,Dipenuhi kemarahan,marah,marah,marah
4864,Muka masammu bikin semua orang muak,1.0,Muka masam,marah,Cemberut,marah,marah,marah
4865,"Terus saja maju ke situ, sama saja cari mulut harimau",1.0,Mulut harimau,marah,Bahaya,marah,marah,marah
4866,Sikapnya benar-benar bikin naik darah,1.0,Naik darah,marah,marah,marah,marah,marah
4867,Berhenti dengan omong kosong itu sekarang,1.0,Omong kosong,marah,Bualan,marah,marah,marah
4868,Tingkahmu itu jelas seperti otak miring,1.0,Otak miring,marah,Tidak waras,marah,marah,marah
4869,Tingkah seperti itu bikin panas hati saja,1.0,Panas hati,marah,Iri hati,marah,marah,marah
4870,"Sudah ketahuan hidung belang, masih berani mengelak",1.0,Hidung belang,marah,Laki-laki nakal,marah,marah,marah
4871,"Main kasar begitu, ini pertandingan bukan menerapkan hukum rimba",1.0,Hukum rimba,marah,siapa kuat dia berkuasa,marah,marah,marah
4872,"Hebatnya cuma di lingkungan sendiri,  dasar jago kandang",1.0,Jago kandang,marah,Orang yang hanya berani di lingkungannya sendiri,marah,marah,marah
4873,"Begitu terdesak langsung kaki seribu, memalukan sekali",1.0,Kaki seribu,marah,Berlari ketakutan,marah,marah,marah
4874,"Tidak punya pendirian, kepala angin seperti itu bikin masalah",1.0,Kepala angin,marah,labil,marah,marah,marah
4875,jelas-jelas salah masih saja kepala batu,1.0,Kepala batu,marah,Bebal,marah,marah,marah
4876,"Tidak punya ide sendiri, dasar leher panjang",1.0,Leher panjang,marah,Suka meniru pekerjaan orang lain,marah,marah,marah
4877,"Tidak punya pendirian, jelas lemah tulang",1.0,Lemah tulang,marah,Tidak tegas,marah,marah,marah
4878,"Lempar batu sembunyi tangan, jangan kira tidak ketahuan",1.0,Lempar batu sembunyi tangan,marah,Melakukan perbuatan buruk kemudian pura-pura tidak mengetahuinya,marah,marah,marah
4879,"Lupa diri seperti itu, siap-siap kena akibatnya",1.0,Lupa diri,marah,Menjadi sombong,marah,marah,marah
4880,"Kamu benar-benar setengah hati mengerjakan tugas ini, jangan harap hasilnya bagus",1.0,setengah hati,marah,tidak sungguh-sungguh,marah,marah,marah
4881,"Jangan pura-pura jadi pahlawan kesiangan, semua sudah terlambat",1.0,pahlawan kesiangan,marah,bertindak terlambat,marah,marah,marah
4882,"Omonganmu itu cuma angin lalu, tidak ada artinya sama sekali",1.0,angin lalu,marah,tidak dianggap penting,marah,marah,marah
4883,"Kamu itu benar-benar keras urat, tidak pernah berubah",1.0,keras urat,marah,sulit diubah,marah,marah,marah
4884,"Sikapmu seperti api dalam sekam, diam tapi berbahaya",1.0,api dalam sekam,marah,diam-diam berbahaya,marah,marah,marah
4885,"Jangan sok suci, kelakuanmu sudah seperti duri dalam daging",1.0,duri dalam daging,marah,penganggu,marah,marah,marah
4886,Kamu itu cuma jadi batu sandungan bagi semua orang di sini,1.0,batu sandungan,marah,penghambat,marah,marah,marah
4887,"Jangan sok jadi kambing congek, pura-pura tidak tahu apa-apa",1.0,kambing congek,marah,pura-pura tidak tahu,marah,marah,marah
4888,sikapmu seperti kacang lupa kulit setelah sukses,1.0,kacang lupa kulit,marah,lupa asal,marah,marah,marah
4889,"Jangan jadi serigala berbulu domba di sini, aku sudah tahu niatmu",1.0,serigala berbulu domba,marah,munafik,marah,marah,marah
4890,Omonganmu itu benar-benar menyulut api kemarahanku,1.0,menyulut api,marah,memicu kemarahan,marah,marah,marah
4891,"Bertahun-tahun aku makan hati karena kamu, sekarang jangan harap aku akan menahan diri lagi",1.0,makan hati,marah,perasaan jengkel,marah,marah,marah
4892,"Kelakuanmu itu benar-benar membuatku terbakar emosi, jangan harap aku akan diam lagi",1.0,terbakar emosi,marah,sangat marah,marah,marah,marah
4893,Aku tidak sangka kamu jadi musuh dalam selimut,1.0,musuh dalam selimut,marah,penghianat,marah,marah,marah
4894,"Jangan pura-pura baik, kamu itu jelas mulut manis hati berbisa",1.0,mulut manis hati berbisa,marah,"pura-pura baik, tapi menyimpan maksud jahat",marah,marah,marah
4895,"Ngomong sama kamu itu seperti memukul angin, percuma",1.0,memukul angin,marah,tidak ada hasil,marah,marah,marah
4896,"Kamu itu selalu setengah hati  saat kerja, pantas saja hasilnya berantakan",1.0,setengah hati,marah,tidak sungguh-sungguh,marah,marah,marah
4897,"Jangan sok jadi pahlawan kesiangan, semuanya sudah rusak",1.0,pahlawan kesiangan,marah,bertindak terlambat,marah,marah,marah
4898,Aku muak selalu dianggap angin lalu saat bicara,1.0,angin lalu,marah,tidak dianggap penting,marah,marah,marah
4899,"Jangan terlalu keras urat, jelas sekali kamu salah",1.0,keras urat,marah,sulit diubah,marah,marah,marah
4900,"Sikapmu seperti api dalam sekam, diam-diam tapi merusak semuanya",1.0,api dalam sekam,marah,diam-diam berbahaya,marah,marah,marah
4901,"Kamu benar-benar jadi duri dalam daging di tim ini, selalu bikin masalah",1.0,duri dalam daging,marah,penganggu,marah,marah,marah
4902,"Jangan jadi batu sandungan terus, kamu cuma menghambat semuanya",1.0,batu sandungan,marah,penghambat,marah,marah,marah
4903,"Jangan pura-pura jadi kambing congek, kamu jelas tahu apa yang terjadi",1.0,kambing congek,marah,pura-pura tidak tahu,marah,marah,marah
4904,"Sudah sukses malah jadi kacang lupa kulit, benar-benar jahat",1.0,kacang lupa kulit,marah,lupa asal,marah,marah,marah
4905,"Kamu itu serigala berbulu domba, kelihatan baik tapi ternyata licik",1.0,serigala berbulu domba,marah,munafik,marah,marah,marah
4906,"Ucapanmu itu cuma menyulut api, bikin suasana makin panas saja",1.0,menyulut api,marah,memicu kemarahan,marah,marah,marah
4907,"Aku sudah lama makan hati menghadapi sikapmu, jangan kira aku akan terus diam",1.0,makan hati,marah,perasaan jengkel,marah,marah,marah
4908,"Jangan main-main, aku sudah terbakar emosi dan bisa meledak kapan saja",1.0,terbakar emosi,marah,sangat marah,marah,marah,marah
4909,kukira kamu baik ternyata jadi musuh dalam selimut,1.0,musuh dalam selimut,marah,penghianat,marah,marah,marah
4910,"Aku sudah tahu sifatmu, mulut manis hati berbisa itu tidak bisa dipercaya",1.0,mulut manis hati berbisa,marah,"pura-pura baik, tapi menyimpan maksud jahat",marah,marah,marah
4911,"tim yang kamu pimpin, kerjanya seperti memukul angin jelek sekali",1.0,memukul angin,marah,tidak ada hasil,marah,marah,marah
4912,"Sikap gila hormatmu itu bikin semua orang muak, kamu pikir kamu siapa",1.0,Gila hormat,marah,suka dihormati berlebihan,marah,marah,marah
4913,"tidak ada yang boleh membantah, ini sudah harga mati",1.0,harga mati,marah,prinsip yang wajib dipertahankan,marah,marah,marah
4914,Aku benar-benar jengkel hati menghadapi sikapmu,1.0,jengkel hati,marah,sangat kesal,marah,marah,marah
4915,Aku sudah geram hati melihat kamu terus mengulang kesalahan yang sama,1.0,geram hati,marah,marah tertahan,marah,marah,marah
4916,Kamu benar-benar bikin aku terbakar hati melihat kelakuanmu,1.0,terbakar hati,marah,sangat tersinggung,marah,marah,marah
4917,"jangan sok lupa diri begitu, kamu tidak ada apa-apanya dibanding dia",1.0,Lupa diri,marah,Menjadi sombong,marah,marah,marah
